SPECID,COMMENT_FLAG,COMMENT
G15_Y3_029_061,512,"bad splice"                          
G15_Y3_029_283,512,"bad splice"                          
G15_Y3_029_294,512,"bad splice"                          
G15_Y3_030_029,512,"bad splice"                          
G15_Y3_030_313,512,"bad splice"                          
G15_Y3_031_039,512,"bad splice"                          
G15_Y3_031_060,512,"bad splice"                          
G15_Y3_031_076,512,"poor splice"                         
G15_Y3_031_181,512,"bad splice"                          
G15_Y3_031_199,512,"bad splice"                          
G15_Y3_031_217,512,"bad splice"                          
G15_Y3_031_314,512,"bad splice"                          
G15_Y3_032_011,512,"bad splice"                          
G15_Y3_032_013,512,"bad splice"                          
G15_Y3_032_049,512,"bad splicing"                        
G15_Y3_035_049,512,"bad splice"                          
G15_Y3_035_152,512,"bad splice"                          
G15_Y3_035_194,512,"bad splice"                          
G15_Y3_035_349,512,"bad splice"                          
G15_Y3_036_294,512,"splice error"                        
G15_Y3_036_385,512,"bad splice"                          
G15_Y3_037_016,512,"bad splice"                          
G15_Y3_037_170,512,"bad splice"                          
G15_Y3_037_176,512,"bad splice"                          
G15_Y3_037_185,512,"bad splice"                          
G15_Y3_037_248,512,"bad splice"                          
G15_Y3_037_315,512,"splice error"                        
G15_Y3_038_056,512,"bad splice"                          
G15_Y3_039_009,512,"poor splice"                         
G15_Y3_039_020,512,"bad splice"                          
G15_Y3_039_039,512,"bad splice"                          
G15_Y3_039_053,512,"poor splice"                         
G15_Y3_039_246,512,"bad splice"                          
G15_Y3_039_271,512,"bad splice"                          
G15_Y3_039_277,512,"bad splice"                          
G15_Y3_039_315,512,"bad align blue red"                  
G15_Y3_040_012,512,"bad splice"                          
G15_Y3_040_049,512,"bad splice"                          
G15_Y3_041_017,512,"bad splice"                          
G15_Y3_041_017,512,"bad splicing"                        
G15_Y3_041_147,512,"bad splice"                          
G15_Y3_041_315,512,"really bad splice"                   
G15_Y3_042_006,512,"bad splice"                          
G15_Y3_042_176,512,"bad splice"                          
G15_Y3_043_176,512,"bad splice"                          
G15_Y3_043_194,512,"bad splice"                          
G15_Y3_043_213,512,"bad splice"                          
G15_Y3_043_241,512,"bad splice"                          
G15_Y3_043_249,512,"poor splice"                         
G15_Y3_044_008,512,"bad splice"                          
G15_Y3_045_014,512,"bad splice"                          
G15_Y3_045_067,512,"bad splice"                          
G15_Y3_045_109,512,"bad splice"                          
G15_Y3_045_149,512,"bad splice"                          
G15_Y3_045_181,512,"bad splice"                          
G15_Y3_045_181,512,"poor splice"                         
G15_Y3_045_184,512,"bad splice"                          
G15_Y3_045_192,512,"bad splice"                          
G15_Y3_045_238,512,"bad splice"                          
G15_Y3_045_286,512,"bad splice"                          
G15_Y3_045_295,512,"bad splice"                          
G15_Y3_045_368,512,"bad splice"                          
G15_Y3_045_380,512,"bad splice"                          
G15_Y3_046_057,512,"bad splice"                          
G15_Y3_046_061,512,"bad splice"                          
G15_Y3_046_065,512,"bad splice"                          
G15_Y3_046_068,512,"bad splice"                          
G15_Y3_046_167,512,"bad splice"                          
G15_Y3_046_170,512,"bad splicing"                        
G15_Y3_046_174,512,"bad splice"                          
G15_Y3_046_177,512,"bad splice"                          
G15_Y3_046_188,512,"bad splice"                          
G15_Y3_046_194,512,"bad splicing"                        
G15_Y3_046_202,512,"bad splice"                          
G15_Y3_046_206,512,"bad splice"                          
G15_Y3_046_225,512,"bad splice"                          
G15_Y3_046_232,512,"bad splice"                          
G15_Y3_046_233,512,"bad splice"                          
G15_Y3_046_245,512,"bad splicing"                        
G15_Y3_046_272,512,"poor splice"                         
G15_Y3_046_284,512,"bad splice"                          
G15_Y3_046_326,512,"bad splice"                          
G15_Y3_047_091,512,"bad splice"                          
G15_Y3_047_315,512,"really bad splice"                   
G15_Y3_047_317,512,"bad splice"                          
G15_Y3_048_294,512,"bad splice"                          
G15_Y3_048_391,512,"bad splice"                          
G15_Y3_049_010,512,"bad splicing"                        
G15_Y3_049_043,512,"poor splice"                         
G15_Y3_049_075,512,"bad splice"                          
G15_Y3_049_166,512,"bad splice"                          
G15_Y3_049_174,512,"bad splicing"                        
G15_Y3_049_216,512,"bad splice"                          
G15_Y3_049_227,512,"bad splice"                          
G15_Y3_049_243,512,"bad splice"                          
G15_Y3_049_249,512,"bad splice"                          
G15_Y3_049_273,512,"bad splice"                          
G15_Y3_049_315,512,"bad splice"                          
G15_Y3_049_397,512,"bad splice"                          
G15_Y3_050_019,512,"bad splice"                          
G15_Y3_051_066,512,"bad splice"                          
G15_Y3_052_384,512,"bad splice"                          
G15_Y4_203_018,512,"poor splice"                         
G15_Y4_203_037,512,"bad splice"                          
G15_Y4_204_006,512,"bad splicing"                        
G15_Y4_204_006,512,"poor splice"                         
G15_Y4_206_007,512,"poor splice"                         
G15_Y4_206_037,512,"bad splice"                          
G15_Y4_206_040,512,"bad splicing"                        
G15_Y4_206_294,512,"bad splicing"                        
G15_Y4_207_006,512,"poor splice"                         
G15_Y4_209_396,512,"bad splicing"                        
G15_Y4_211_038,512,"bad splice"                          
G15_Y4_211_160,512,"poor splice"                         
G15_Y4_211_160,512,"poor splicing"                       
G15_Y4_211_369,512,"bad splice"                          
G15_Y4_211_382,512,"bad splicing"                        
G15_Y4_212_017,512,"bad splice"                          
G15_Y4_214_013,512,"poor splicing"                       
G15_Y4_214_076,512,"bad splice"                          
G15_Y4_214_393,512,"bad splicing"                        
G15_Y4_215_014,512,"splice error"                        
G15_Y4_215_073,512,"splice error"                        
G15_Y4_215_377,512,"poor splice"                         
G15_Y4_216_008,512,"poor splice"                         
G15_Y4_216_177,512,"bad splice"                          
G15_Y4_217_181,512,"poor splice"                         
G15_Y4_218_011,512,"bad splice"                          
G15_Y4_219_024,512,"poor splice"                         
G15_Y4_219_076,512,"poor splice"                         
G15_Y4_219_080,512,"poor splice"                         
G15_Y4_222_083,512,"bad splicing"                        
G15_Y4_223_251,512,"bad splicing blue noisier"           
G15_Y4_223_342,512,"bad splicing"                        
G15_Y4_224_363,512,"bad splice"                          
G15_Y4_224_390,512,"poor splice"                         
G15_Y4_225_018,512,"bad splice"                          
G15_Y4_225_028,512,"bad splice"                          
