SPECID,fringe,reduction,sky,comment
G12_Y1_ND4_064,1,,,
G15_Y4_237_397,,1,,
G09_Y2_015_385,1,,,
G09_Y4_211_209,,,1,
G15_Y6_088_395,,1,,
G15_Y1_CN2_368,,1,,bad splice
G15_Y2_013_001,,1,,bad splice
G15_Y4_228_006,,1,,bad splice
G15_Y6_097_072,,1,,bad splice
G12_Y1_CS2_008,1,,,
G15_Y1_HN1_031,1,,,
G15_Y1_GN1_279,1,,,
G09_Y4_208_076,1,,,
G15_Y1_DN1_072,,1,,DN1 field error
G09_Y1_DS2_056,1,,,
G15_Y3_047_008,,1,,bad splice
G15_Y3_001_080,1,,,
G15_Y2_012_120,1,,,
G09_Y1_DX1_380,,1,,bad splice
G15_Y4_237_396,,1,,
G15_Y4_202_055,1,,,
G12_Y1_ES1_026,1,,,
G12_Y1_FN1_109,1,,,
G09_Y1_IS2_106,1,,,
G15_Y6_097_392,,1,,bad splice
G12_Y1_DN1_112,1,,,
G15_Y2_005_345,1,,,
G02_Y4_021_168,1,,,
G15_Y6_096_352,,1,,bad splice
G09_Y1_FS2_107,1,,,
G15_Y2_014_090,,1,,bad splice
G15_Y2_014_065,,1,,bad splice
G15_Y3_009_008,,1,,bad splice
G09_Y1_AX1_332,,,1,
G15_Y1_CS2_341,1,,,
G15_Y2_012_110,1,,,
G15_Y6_087_015,,1,,bad splice
G12_Y1_DN1_345,1,,,
G12_Y6_070_359,,1,,bad splice
G09_Y1_BS1_265,,,1,
G02_Y4_040_368,1,,,
G09_Y1_EN1_168,1,,,
G15_Y1_GS2_115,1,,,
G02_Y4_031_398,,1,,bad splice
G09_Y1_GS2_168,1,,,
G12_Y6_060_087,,1,,bad splice
G02_Y4_040_235,1,,,
G02_Y6_005_071,,1,,bad splice
G09_Y1_FN2_356,1,,,
G15_Y2_020_390,,1,,bad splice
G15_Y1_DN2_060,,1,,bad splice
G15_Y1_DN2_040,,1,,bad splice
G15_Y6_093_094,,1,,bad splice
G15_Y1_EN1_054,1,,,
G15_Y2_019_016,,,1,
G15_Y2_022_012,,1,,bad splice
G09_Y1_AS1_055,1,,,
G09_Y1_DS1_115,1,,,
G15_Y4_204_248,1,,,
G15_Y1_HS1_345,1,,,
G02_Y5_088_313,,1,,bad splice
G12_Y4_210_388,,1,,
G15_Y4_207_041,1,,,
G12_Y1_BS2_103,1,,,
G12_Y1_ND4_054,1,,,
G12_Y6_073_015,,1,,bad splice
G12_Y6_058_001,,1,,
G15_Y2_011_051,,1,,bad splice
G12_Y1_AN1_060,1,,,
G09_Y1_IN1_055,1,,,
G09_Y1_EN2_285,1,,,
G09_Y4_221_395,1,,,
G15_Y1_EN2_070,,1,,bad splice
G15_Y3_047_037,,1,,bad splice
G09_Y4_226_002,,1,,bad splice
G15_Y2_014_051,,1,,bad splice
G02_Y4_044_126,,,1,
G15_Y1_CX2_007,,1,,
G02_Y4_028_102,1,,,
G12_Y1_FS2_138,1,,,
G09_Y1_FS1_026,1,,,
G15_Y1_DN2_110,1,,,
G15_Y6_097_043,,1,,bad splice
G15_Y1_FS2_056,,1,,bad splice
G12_Y1_GN1_345,1,,,
G12_Y1_CND1_107,1,,,
G15_Y1_BS2_036,1,,,
G12_Y1_HS1_161,1,,,
G12_Y1_CN1_122,1,,,
G09_Y1_GS2_359,1,,,
G15_Y2_010_129,1,,,
G15_Y4_214_129,1,,,
G09_Y2_031_274,1,,,
G09_Y5_007_161,1,,,
G12_Y1_IS2_021,1,,,
G12_Y1_CN1_061,1,,,
G09_Y1_AN2_136,1,,,
G09_Y4_201_079,1,,,
G12_Y1_HN1_112,1,,,
G15_Y6_086_036,,1,,bad splice
G15_Y1_AN2_276,1,,,
G12_Y1_CND1_054,1,,,
G12_Y1_AS2_354,1,,,
G12_Y1_FS2_129,1,,,
G15_Y1_DN1_030,,1,,DN1 field error
G15_Y4_207_315,,1,,bad splice
G12_Y1_CD1_341,1,,,
G02_Y5_089_020,,1,,bad splice
G15_Y3_001_119,1,,,
G15_Y2_014_001,,1,,bad splice
G02_Y5_079_001,,1,,bad splice
G12_Y6_073_035,,1,,bad splice
G12_Y1_AX1_341,1,,,
G15_Y4_213_211,1,,,
G15_Y3_017_276,1,,,
G15_Y2_009_276,1,,,
G12_Y1_CN1_132,1,,,
G15_Y1_GS1_117,1,,,
G12_Y1_FS2_107,1,,,
G12_Y1_DN1_080,1,,,
G09_Y1_GN2_345,1,,,
G15_Y4_206_014,,1,,bad splice
G09_Y2_004_356,1,,,
G02_Y3_007_356,1,,,
G02_Y3_014_204,1,,,
G02_Y3_018_173,,,1,
G02_Y4_002_315,,,1,
G02_Y4_031_086,1,,,
G02_Y4_035_078,,1,,bad splice
G02_Y4_035_129,1,,,
G02_Y4_037_274,1,,,
G02_Y4_040_253,1,,,
G02_Y4_043_283,1,,,
G02_Y5_051_009,,,1,
G02_Y5_074_068,,,1,
G02_Y5_088_019,,,1,
G02_Y5_092_056,,1,,red arm
G02_Y5_109_208,,,1,
G02_Y5_116_365,,1,,bad splice
G09_Y1_AN2_107,1,,,
G09_Y1_AN2_132,1,,,
G09_Y1_AN2_168,1,,,
G09_Y1_BN2_040,1,,,
G09_Y1_BS2_327,,1,,
G09_Y1_BX2_332,,,1,
G09_Y1_CN1_117,1,,,
G09_Y1_CN2_107,1,,,
G09_Y1_DN2_117,1,,,
G09_Y1_DN2_120,1,,,
G09_Y1_DN2_341,1,,,
G09_Y1_DN2_342,1,,,
G09_Y1_DS1_354,1,,,
G09_Y1_DX2_332,,,1,
G09_Y1_EN2_280,1,,,
G09_Y1_GN1_276,1,,,
G09_Y1_GN1_356,1,,,
G09_Y1_GX1_008,,,1,
G09_Y1_HN1_276,1,,,
G09_Y1_IN1_036,1,,,
