SPECID,SCORE
G02_Y4_031_335,0.005664373
G15_Y6_100_268,0.005662298
G15_Y2_023_153,0.005652557
G02_Y4_031_101,0.00564296
G12_Y3_023_060,0.005639858
G15_Y5_029_287,0.0056396704
G15_Y2_008_017,0.005627537
G12_Y1_ND1_159,0.005622307
G15_Y6_081_191,0.005617581
G15_Y2_003_165,0.005612358
G09_Y4_206_252,0.005612067
G09_Y1_FN2_079,0.005611861
G15_Y3_038_335,0.0056064986
G15_Y1_ES1_316,0.00560159
G02_Y4_040_263,0.005598725
G15_Y1_GX2_127,0.005594711
G09_Y4_206_128,0.0055920947
G15_Y4_203_301,0.005590517
G15_Y6_088_026,0.005582354
G15_Y1_IS1_094,0.005580775
G15_Y3_008_098,0.005576485
G15_Y1_FS2_223,0.005576293
G09_Y4_215_016,0.00557592
G09_Y1_test_362,0.005570541
G09_Y1_BX2_269,0.005565753
G09_Y4_212_235,0.005565403
G09_Y2_042_055,0.0055647586
G09_Y4_231_266,0.005562502
G12_Y4_206_177,0.005556484
G15_Y6_083_208,0.0055518914
G15_Y2_013_241,0.005548196
G12_Y1_BS2_269,0.0055442294
G12_Y1_GS2_274,0.005543907
G09_Y1_FX1_116,0.005543174
G15_Y1_AS1_293,0.005542105
G15_Y1_AX2_187,0.0055407304
G15_Y3_051_387,0.0055382503
G12_Y3_022_171,0.0055372063
G09_Y1_GS2_184,0.005534025
G15_Y6_088_271,0.0055308836
G12_Y5_004_210,0.0055280593
G15_Y4_203_275,0.005524524
G02_Y4_021_304,0.005515012
G15_Y2_022_033,0.0055120885
G15_Y1_IN1_372,0.0055052307
G15_Y4_204_173,0.0055031595
G15_Y6_098_294,0.005499179
G15_Y2_011_293,0.005490262
G15_Y1_FN1_202,0.005490004
G15_Y4_205_344,0.0054849186
G15_Y2_018_041,0.0054845316
G02_Y4_031_011,0.0054792273
G15_Y4_202_277,0.005478794
G15_Y1_GS2_160,0.0054732105
G15_Y1_BN2_091,0.005465461
G12_Y4_206_226,0.005464321
G15_Y4_224_126,0.005460835
G15_Y5_035_283,0.005442803
G12_Y4_204_197,0.0054392954
G02_Y5_088_018,0.0054380284
G02_Y5_106_253,0.0054362346
G09_Y1_IS2_022,0.0054361597
G09_Y4_207_206,0.0054304274
G15_Y2_020_134,0.0054200143
G02_Y5_077_345,0.005418668
G09_Y1_BN2_125,0.00541759
G15_Y5_022_339,0.005415665
G15_Y3_051_385,0.005404545
G15_Y2_009_130,0.0053965016
G15_Y1_FN1_076,0.0053957934
G09_Y6_074_167,0.005394759
G02_Y3_018_277,0.0053852983
G09_Y1_HN2_290,0.0053845188
G12_Y4_202_063,0.0053774724
G09_Y4_251_258,0.0053771567
G09_Y1_HN1_308,0.0053760586
G09_Y4_214_233,0.0053724395
G12_Y2_005_225,0.005371783
G09_Y1_HS2_087,0.005369264
G15_Y6_086_376,0.005366933
G09_Y4_213_244,0.0053636674
G12_Y5_006_318,0.005357895
G15_Y1_DS2_104,0.005341014
G15_Y6_074_216,0.0053403825
G15_Y3_021_253,0.005331992
G15_Y4_207_138,0.005328635
G15_Y4_216_285,0.005326837
G09_Y1_HS2_272,0.00531829
G15_Y3_016_175,0.0053139646
G15_Y1_FS2_170,0.0053125983
G09_Y4_208_059,0.005311441
G02_Y5_114_012,0.005308961
G15_Y2_001_363,0.005305725
G12_Y6_056_388,0.005305402
G02_Y4_001_009,0.0052975807
G15_Y2_019_335,0.005296553
G15_Y2_019_226,0.0052937064
G15_Y1_IS1_075,0.0052905064
G15_Y2_021_056,0.0052887145
G12_Y1_GN1_259,0.005288517
G15_Y4_212_204,0.005284343
G15_Y1_CS2_395,0.005282242
G15_Y4_220_231,0.005280639
G15_Y2_014_199,0.0052790013
G15_Y1_HS1_004,0.0052778553
G15_Y6_101_338,0.0052719787
G12_Y1_EX2_040,0.0052719396
G12_Y6_054_253,0.005265352
G15_Y1_AS1_004,0.0052631143
G12_Y6_043_271,0.005258342
G02_Y5_050_073,0.0052576913
G15_Y3_042_014,0.0052572135
G15_Y1_CN2_254,0.00525705
G02_Y4_026_335,0.0052527473
G15_Y1_DN2_046,0.0052522505
G15_Y1_FN2_332,0.0052501447
G09_Y4_206_213,0.005246753
G15_Y6_087_031,0.0052437177
G15_Y2_012_255,0.005240504
G09_Y4_206_216,0.005233745
G09_Y2_019_032,0.005232837
G02_Y3_014_140,0.0052289497
G15_Y1_GS1_003,0.0052282875
G15_Y6_097_196,0.005225768
G15_Y6_084_378,0.0052254177
G12_Y5_003_362,0.005221938
G09_Y1_HN2_026,0.005216304
G02_Y4_026_330,0.005214425
G02_Y3_014_070,0.0052120034
G09_Y6_063_102,0.005209958
G09_Y2_011_122,0.0052090357
G02_Y4_030_314,0.0052064047
G15_Y6_086_101,0.005197483
G12_Y1_HS2_030,0.005188985
G12_Y1_DX1_211,0.00518342
