SPECID,SCORE
G12_Y5_006_076,1.6367821787678
G09_Y1_AX1_355,1.63637158664148
G12_Y1_AN1_388,1.63496958731405
G02_Y3_015_081,1.63332373710328
G12_Y5_023_030,1.63184150219551
G02_Y3_013_205,1.63141868276749
G12_Y2_018_057,1.63099791958133
G02_Y3_009_178,1.6307788447921
G15_Y6_095_382,1.63058804607792
G12_Y4_204_171,1.63008274026638
G15_Y1_HN2_389,1.62645133203129
G09_Y1_GN2_228,1.62434204949906
G09_Y2_029_218,1.62374565828222
G09_Y4_223_280,1.6221408391967
G15_Y4_212_245,1.61940784826264
G15_Y3_003_359,1.61916316172538
G09_Y4_214_233,1.61865782724909
G15_Y3_033_003,1.61820721899242
G09_Y1_EN1_006,1.61812395015253
G12_Y2_020_060,1.61798130504625
G15_Y1_HN2_008,1.61729396469885
G02_Y3_019_369,1.61611781177826
G15_Y1_AN2_283,1.61584487968144
G15_Y1_AS1_093,1.61557940030921
G12_Y2_009_025,1.61279770979048
G02_Y5_113_019,1.61055291507796
G09_Y1_BX1_084,1.61041832879691
G15_Y1_FS2_127,1.61034907694568
G09_Y1_test_392,1.61003193385151
G15_Y6_081_191,1.60761946515507
G12_Y1_DS1_219,1.60683702387192
G15_Y6_101_338,1.60606493125515
G15_Y4_219_384,1.60603958896813
G12_Y1_IS1_065,1.60554593666635
G15_Y6_088_158,1.60486779148577
G12_Y5_015_382,1.60476661026438
G15_Y3_007_301,1.60385225627793
G15_Y6_097_155,1.60258619576013
G15_Y4_203_197,1.6025229253877
G15_Y4_218_053,1.60207714987093
G02_Y3_005_001,1.59990794810859
G15_Y2_023_177,1.59952845971721
G15_Y3_002_142,1.59861693439937
G12_Y1_DX1_211,1.59803405419736
G02_Y3_015_153,1.59744346544114
G02_Y5_116_083,1.59695774754246
G09_Y1_DS2_101,1.5959530769363
G15_Y3_048_199,1.59568401044177
G15_Y1_BN1_223,1.59509056709399
G09_Y1_BS1_152,1.59493515404417
G15_Y6_101_298,1.59445723103725
G15_Y3_034_005,1.59440585422378
G15_Y2_019_335,1.59406600534952
G02_Y3_018_247,1.59389704290805
G15_Y5_033_132,1.59302561156453
G02_Y3_018_277,1.59279225992977
G02_Y3_018_304,1.59231315098675
G09_Y1_DS2_260,1.59224869386049
G09_Y4_215_073,1.5914097013772
G15_Y4_203_305,1.59132749285562
G09_Y2_015_069,1.5903053371855
G15_Y4_205_160,1.58959752043866
G15_Y1_AN2_025,1.58911841847301
G09_Y4_215_029,1.58907132303485
G12_Y3_001_369,1.58797790463992
G09_Y4_207_378,1.58755431487969
G15_Y1_FN2_029,1.5861148304018
G12_Y1_IS1_078,1.58561519772335
G15_Y2_023_170,1.58560229203481
G15_Y1_HS1_341,1.5854786947603
G15_Y1_BX1_021,1.58463347970536
G15_Y6_099_116,1.5844080163495
G15_Y1_IN2_381,1.58416488109156
G15_Y3_021_077,1.58400425944437
G15_Y2_001_254,1.58391630418689
G15_Y1_GX2_201,1.58277310308316
G15_Y1_HN2_287,1.58249039721858
G02_Y6_008_113,1.5804769087665
G12_Y1_IS1_021,1.58036605750227
G09_Y1_FS1_110,1.57937257874225
G15_Y5_032_003,1.57927260101058
G12_Y1_HND1_277,1.5790695567651
G12_Y1_DN1_308,1.57705022875047
G12_Y4_204_173,1.57698221173929
G15_Y3_004_307,1.57566458232868
G12_Y3_023_025,1.57501223495643
G12_Y2_025_102,1.57494115855989
G02_Y5_051_188,1.57473749165229
G12_Y1_CS1_362,1.57440787030991
G09_Y2_042_254,1.57432572979851
G12_Y1_IS1_080,1.57419045771765
G09_Y1_AN1_211,1.57390421851079
G02_Y4_034_267,1.57267933052875
G12_Y4_204_197,1.57227766404007
G12_Y6_056_020,1.57218427264074
G15_Y3_014_270,1.57200427998614
G15_Y1_DS2_102,1.57180429593892
G15_Y1_CN2_062,1.57105264873488
G09_Y4_227_208,1.57062136997957
G15_Y1_EN2_393,1.5701918092398
G15_Y3_033_060,1.56914802017383
G15_Y4_202_102,1.56831000901833
G02_Y3_019_109,1.56827749364603
